MF,Scheme_Code,Div_Growth,Reinvestment,Scheme_Name,NAV,Repurchase,Sale
Axis Mutual Fund,113065,INF846K01776,INF846K01784,Axis Triple Advantage Fund - Dividend Option,10.5268,10.4215,10.5268
Axis Mutual Fund,113064,INF846K01768,-,Axis Triple Advantage Fund - Growth Option,11.3554,11.2418,11.3554
Baroda Pioneer Mutual Fund,101912,INF955L01708,-,BARODA PIONEER BALANCE FUND -Growth Plan,26.68,26.41,26.68
Baroda Pioneer Mutual Fund,101913,INF955L01682,INF955L01690,BARODA PIONEER BALANCE FUND-Dividend Plan,26.68,26.41,26.68
Birla Sun Life Mutual Fund,103154,INF209K01BS7,INF209K01EE1,Birla Sun Life 95 Fund-Plan A (Dividend),98.21,97.23,98.21
Birla Sun Life Mutual Fund,103155,INF209K01BT5,-,Birla Sun Life 95 Fund-Plan B(Growth),301.61,298.59,301.61
Birla Sun Life Mutual Fund,100035,-,-,Birla Sun Life Freedom Fund-Plan A (Dividend),14.55,14.4,14.55
Birla Sun Life Mutual Fund,100036,-,-,Birla Sun Life Freedom Fund-Plan B (Growth),30.91,30.6,30.91
Canara Robeco Mutual Fund,106167,INF760K01068,INF760K01076,Canara Robeco Balance - Dividend Plan,52.84,52.84,52.84
Canara Robeco Mutual Fund,106166,INF760K01050,-,Canara Robeco Balance - Growth Plan,62.71,62.71,62.71
DSP BlackRock Mutual Fund,100082,INF740K01326,INF740K01334,DSP BlackRock Balanced Fund-Dividend,20.45,20.246,20.45
DSP BlackRock Mutual Fund,100081,INF740K01318,-,DSP BlackRock Balanced Fund-Growth,65.245,64.593,65.245
Escorts Mutual Fund,101069,INF966L01242,INF966L01259,Escorts Balanced Fund-Dividend Option,11.1144,11.0033,11.1144
Escorts Mutual Fund,101070,INF966L01267,-,Escorts Balanced Fund-Growth Option,59.2788,58.686,59.2788
Fidelity Mutual Fund,114501,INF677K01817,INF677K01809,Fidelity India Children's Plan - Education Fund -Dividend Option,9.945,9.647,9.945
Fidelity Mutual Fund,114500,INF677K01791,-,Fidelity India Children's Plan - Education Fund -Growth option,9.945,9.647,9.945
Fidelity Mutual Fund,114503,INF677K01841,INF677K01833,Fidelity India Children's Plan - Marriage Fund -Dividend option,10.436,10.123,10.436
Fidelity Mutual Fund,114502,INF677K01825,-,Fidelity India Children's Plan - Marriage Fund -Growth option,10.436,10.123,10.436
Fidelity Mutual Fund,114505,INF677K01874,INF677K01866,Fidelity India Children's Plan - Savings Fund -Dividend option,10.9154,10.8608,10.9154
